f_id,i_id,log_precision
1,1,0.2293860661076884
1,3,0.4855942498448432
1,4,0.3287019614255028
1,5,0.4010220027723363
2,1,3.516764059948984
2,3,3.79322252316644
2,4,3.651295769900864
2,5,3.8886643340601
3,1,1.593057184047613
3,3,1.6392409520720872
3,4,1.618179962567934
3,5,1.6523173662317867
4,1,1.803460792631541
4,3,1.746316474230038
4,4,1.9194974592217768
4,5,1.8110695354247688
5,1,1.096808355504918
5,3,0.8940948122593625
5,4,0.8910809710252879
5,5,1.0504562462973257
6,1,1.6493394414929283
6,3,1.9266730135246604
6,4,1.6933957841988074
6,5,1.7004953038873554
7,1,1.3509142460675316
7,3,1.2802108717728478
7,4,1.2593439816779306
7,5,1.2772510915793267
8,1,2.0619046628743263
8,3,2.3711469438082005
8,4,2.514100067836386
8,5,2.4586828973694086
9,1,1.976265988937672
9,3,2.119344816639051
9,4,1.9918496616578016
9,5,2.275319653581437
10,1,3.9627923489437338
10,3,3.9246302342440806
10,4,3.9941739066567936
10,5,3.813652916666384
11,1,1.745279429070415
11,3,1.71869949659148
11,4,1.855124145149156
11,5,1.777731707826615
12,1,5.919327793135455
12,3,6.349163023109917
12,4,6.013760919059656
12,5,5.739949648301136
13,1,2.2617918805286723
13,3,2.383999704905788
13,4,2.317258266550036
13,5,2.3096756298077903
14,1,0.3792739889315858
14,3,0.5014882228960377
14,4,0.5473991138992629
14,5,0.4224669595579789
15,1,1.6390175511900709
15,3,1.7402769275152392
15,4,1.6468039454165608
15,5,1.6484166433936511
16,1,0.5714358702157436
16,3,0.5658794097695349
16,4,0.557476133898008
16,5,0.5260500219953667
17,1,0.4656720217485686
17,3,0.4437234585724304
17,4,0.5002396619487102
17,5,0.396804379721481
18,1,0.8447616370817819
18,3,0.9385697317601146
18,4,0.8686746740526373
18,5,0.7777547252383062
19,1,0.6087990409765113
19,3,0.5881078886471419
19,4,0.6193346485215365
19,5,0.6182661202560122
20,1,0.434555200071847
20,3,0.4460672186216036
20,4,0.471756396386576
20,5,0.4226460869702329
21,1,0.7932551300618305
21,3,0.5351117090222421
21,4,0.8690506757467145
21,5,0.9869408019913892
22,1,0.9924663872937376
22,3,1.0021223286643517
22,4,1.0172528752058174
22,5,1.002700770518086
23,1,0.4772458176606869
23,3,0.4659948886093073
23,4,0.4547697782277007
23,5,0.4796852438756417
24,1,1.7966718100096966
24,3,1.7796915491233578
24,4,1.7492852171197502
24,5,1.7405794327056736
